Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,3746170163
2,Universidad Católica,Chile,A,3746170163
3,Caracas,Venezuela,A,3746170163
4,The Strongest,Fase previa,A,3746170163
1,Atlético Mineiro,Brasil,B,3746170163
2,Cerro Porteño,Paraguay,B,3746170163
3,Sporting Cristal,Perú,B,3746170163
4,Independiente Petrolero,Bolivia,B,3746170163
1,Flamengo,Brasil,C,3746170163
2,Independiente del Valle,Ecuador,C,3746170163
3,Colón,Argentina,C,3746170163
4,Estudiantes L.P.,Fase previa,C,3746170163
1,Athletico Paranaense,Brasil,D,3746170163
2,Emelec,Ecuador,D,3746170163
3,Deportivo Táchira,Venezuela,D,3746170163
4,Olimpia,Fase previa,D,3746170163
1,Boca Juniors,Argentina,E,3746170163
2,Corinthians,Brasil,E,3746170163
3,Deportivo Cali,Colombia,E,3746170163
4,Always Ready,Bolivia,E,3746170163
1,Nacional,Uruguay,F,3746170163
2,Vélez,Argentina,F,3746170163
3,Bragantino,Brasil,F,3746170163
4,América M.G.,Fase previa,F,3746170163
1,River Plate,Argentina,G,3746170163
2,Colo Colo,Chile,G,3746170163
3,Deportes Tolima,Colombia,G,3746170163
4,Fortaleza,Brasil,G,3746170163
1,Peñarol,Uruguay,H,3746170163
2,Libertad,Paraguay,H,3746170163
3,Alianza Lima,Perú,H,3746170163
4,Talleres,Argentina,H,3746170163
